stack_symbol,entrez_id,match
A1BG,1,symbol
A1CF,29974,symbol
A2M,2,symbol
A2ML1,144568,symbol
A3GALT2,127550,symbol
A4GALT,53947,symbol
AAAS,8086,symbol
AADAC,13,symbol
AADACL2,344752,symbol
AADAT,51166,symbol
AAGAB,79719,symbol
AAK1,22848,symbol
AAMDC,28971,symbol
AANAT,15,symbol
AARD,441376,symbol
AARS,16,alias
AARS2,57505,symbol
AARSD1,80755,symbol
AASS,10157,symbol
AATF,26574,symbol
AATK,9625,symbol
ABAT,18,symbol
ABCA1,19,symbol
ABCA10,10349,symbol
ABCA12,26154,symbol
ABCA13,154664,symbol
ABCA2,20,symbol
ABCA3,21,symbol
ABCA4,24,symbol
ABCA6,23460,symbol
ABCA7,10347,symbol
ABCA8,10351,symbol
ABCA9,10350,symbol
ABCB1,5243,symbol
ABCB10,23456,symbol
ABCB11,8647,symbol
ABCB4,5244,symbol
ABCB5,340273,symbol
ABCB7,22,symbol
ABCB9,23457,symbol
ABCC1,4363,symbol
ABCC10,89845,symbol
ABCC11,85320,symbol
ABCC12,94160,symbol
ABCC2,1244,symbol
ABCC3,8714,symbol
ABCC4,10257,symbol
ABCC5,10057,symbol
ABCC6,368,symbol
ABCC8,6833,symbol
ABCC9,10060,symbol
ABCD1,215,symbol
ABCD2,225,symbol
ABCD3,5825,symbol
ABCD4,5826,symbol
ABCE1,6059,symbol
ABCF1,23,symbol
ABCF3,55324,symbol
ABCG1,9619,symbol
ABCG2,9429,symbol
ABCG5,64240,symbol
ABCG8,64241,symbol
ABHD10,55347,symbol
ABHD11,83451,symbol
ABHD12,26090,symbol
ABHD12B,145447,symbol
ABHD13,84945,symbol
ABHD14A,25864,symbol
ABHD14B,84836,symbol
ABHD15,116236,symbol
ABHD16B,140701,symbol
ABHD17A,81926,symbol
ABHD17B,51104,symbol
ABHD18,80167,symbol
ABHD2,11057,symbol
ABHD3,171586,symbol
ABHD5,51099,symbol
ABHD6,57406,symbol
ABHD8,79575,symbol
ABI1,10006,symbol
ABI3,51225,symbol
ABITRAM,54942,symbol
ABL1,25,symbol
ABL2,27,symbol
ABLIM1,3983,symbol
ABLIM2,84448,symbol
ABLIM3,22885,symbol
ABO,28,symbol
ABR,29,symbol
ABRA,137735,symbol
ABRACL,58527,symbol
ABT1,29777,symbol
ABTB1,80325,symbol
ABTB2,25841,symbol
ACAA1,30,symbol
ACAA2,10449,symbol
ACACA,31,symbol
ACACB,32,symbol
ACAD11,84129,symbol
ACAD8,27034,symbol
ACADL,33,symbol
ACADM,34,symbol
ACADSB,36,symbol
ACADVL,37,symbol
ACAN,176,symbol
ACAT1,38,symbol
ACAT2,39,symbol
ACBD3,64746,symbol
ACBD4,79777,symbol
ACBD7,414149,symbol
ACCS,84680,symbol
ACCSL,390110,symbol
ACD,65057,symbol
ACE,1636,symbol
ACE2,59272,symbol
ACER2,340485,symbol
ACHE,43,symbol
ACIN1,22985,symbol
ACKR1,2532,symbol
ACKR3,57007,symbol
ACKR4,51554,symbol
ACLY,47,symbol
ACMSD,130013,symbol
ACO2,50,symbol
ACOD1,730249,symbol
ACOT1,641371,symbol
ACOT11,26027,symbol
ACOT12,134526,symbol
ACOT13,55856,symbol
ACOT2,10965,symbol
ACOT4,122970,symbol
ACOT6,641372,symbol
ACOT7,11332,symbol
ACOT9,23597,symbol
ACOX2,8309,symbol
ACOX3,8310,symbol
ACOXL,55289,symbol
ACRV1,56,symbol
ACSBG1,23205,symbol
ACSBG2,81616,symbol
ACSF2,80221,symbol
ACSF3,197322,symbol
ACSL1,2180,symbol
ACSL3,2181,symbol
ACSL4,2182,symbol
ACSL5,51703,symbol
ACSL6,23305,symbol
ACSM1,116285,symbol
ACSM2B,348158,symbol
ACSM3,6296,symbol
ACSM6,142827,symbol
ACSS1,84532,symbol
ACSS2,55902,symbol
ACSS3,79611,symbol
ACTA1,58,symbol
ACTA2,59,symbol
ACTB,60,symbol
ACTC1,70,symbol
ACTG1,71,symbol
ACTG2,72,symbol
ACTL10,170487,symbol
ACTL6B,51412,symbol
ACTL8,81569,symbol
ACTN1,87,symbol
ACTN2,88,symbol
ACTN3,89,symbol
ACTN4,81,symbol
ACTR1A,10121,symbol
ACTR2,10097,symbol
ACTR3,10096,symbol
ACTR3B,57180,symbol
ACTR3C,653857,symbol
ACTR5,79913,symbol
ACTR8,93973,symbol
ACTRT3,84517,symbol
ACVR1C,130399,symbol
ACVR2A,92,symbol
ACVR2B,93,symbol
ACVRL1,94,symbol
ACY1,95,symbol
ACY3,91703,symbol
ADA,100,symbol
ADA2,51816,symbol
ADAM10,102,symbol
ADAM11,4185,symbol
ADAM12,8038,symbol
ADAM17,6868,symbol
ADAM19,8728,symbol
ADAM22,53616,symbol
ADAM23,8745,symbol
ADAM28,10863,symbol
ADAM29,11086,symbol
ADAM32,203102,symbol
ADAM33,80332,symbol
ADAM8,101,symbol
ADAM9,8754,symbol
ADAMDEC1,27299,symbol
ADAMTS1,9510,symbol
ADAMTS10,81794,symbol
ADAMTS12,81792,symbol
ADAMTS13,11093,symbol
ADAMTS14,140766,symbol
ADAMTS15,170689,symbol
ADAMTS16,170690,symbol
ADAMTS17,170691,symbol
ADAMTS18,170692,symbol
ADAMTS19,171019,symbol
ADAMTS2,9509,symbol
ADAMTS20,80070,symbol
ADAMTS3,9508,symbol
ADAMTS4,9507,symbol
ADAMTS5,11096,symbol
ADAMTS6,11174,symbol
ADAMTS8,11095,symbol
ADAMTS9,56999,symbol
ADAMTSL1,92949,symbol
ADAMTSL2,9719,symbol
ADAMTSL3,57188,symbol
ADAMTSL4,54507,symbol
ADAMTSL4-AS1,574406,symbol
ADAR,103,symbol
ADARB2,105,symbol
ADAT1,23536,symbol
ADAT2,134637,symbol
ADCK2,90956,symbol
ADCY1,107,symbol
ADCY10,55811,symbol
ADCY2,108,symbol
ADCY3,109,symbol
ADCY4,196883,symbol
ADCY5,111,symbol
ADCY7,113,symbol
ADCY8,114,symbol
ADCY9,115,symbol
ADCYAP1R1,117,symbol
ADD1,118,symbol
ADD2,119,symbol
ADD3,120,symbol
ADGB,79747,symbol
ADGRA2,25960,symbol
ADGRA3,166647,symbol
ADGRB1,575,symbol
ADGRB2,576,symbol
ADGRB3,577,symbol
ADGRD1,283383,symbol
ADGRD2,347088,symbol
ADGRE1,2015,symbol
ADGRE2,30817,symbol
ADGRE3,84658,symbol
ADGRE5,976,symbol
ADGRF1,266977,symbol
ADGRF3,165082,symbol
ADGRF4,221393,symbol
ADGRF5,221395,symbol
ADGRG1,9289,symbol
ADGRG2,10149,symbol
ADGRG3,222487,symbol
ADGRG4,139378,symbol
ADGRG5,221188,symbol
ADGRG6,57211,symbol
ADGRG7,84873,symbol
ADGRL1,22859,symbol
ADGRL2,23266,symbol
ADGRL3,23284,symbol
ADGRL4,64123,symbol
ADGRV1,84059,symbol
ADH1B,125,symbol
ADH4,127,symbol
ADH5,128,symbol
ADH6,130,symbol
ADHFE1,137872,symbol
ADI1,55256,symbol
ADIPOQ,9370,symbol
ADIPOR1,51094,symbol
ADIPOR2,79602,symbol
ADIRF,10974,symbol
ADK,132,symbol
ADM,133,symbol
ADM2,79924,symbol
ADM5,199800,symbol
ADO,84890,symbol
ADORA1,134,symbol
ADORA2A,135,symbol
ADORA2B,136,symbol
ADPGK,83440,symbol
ADPRH,141,symbol
ADPRHL1,113622,symbol
ADPRHL2,54936,alias
ADPRM,56985,symbol
ADRA1A,148,symbol
ADRA1B,147,symbol
ADRA1D,146,symbol
ADRA2A,150,symbol
ADRA2C,152,symbol
ADRB1,153,symbol
ADRB2,154,symbol
ADRM1,11047,symbol
ADSSL1,122622,alias
AEN,64782,symbol
AFAP1L1,134265,symbol
AFAP1L2,84632,symbol
AFDN,4301,symbol
AFF1,4299,symbol
AFF2,2334,symbol
AFF3,3899,symbol
AFF4,27125,symbol
AFG1L,246269,symbol
AFG3L2,10939,symbol
AFMID,125061,symbol
AFTPH,54812,symbol
AGA,175,symbol
AGBL1,123624,symbol
AGBL3,340351,symbol
AGBL4,84871,symbol
AGBL5,60509,symbol
AGER,177,symbol
AGFG1,3267,symbol
AGFG2,3268,symbol
AGGF1,55109,symbol
AGK,55750,symbol
AGL,178,symbol
AGMAT,79814,symbol
AGMO,392636,symbol
AGO1,26523,symbol
AGO2,27161,symbol
AGO3,192669,symbol
AGO4,192670,symbol
AGPAT1,10554,symbol
