patient,drug,dose,n_genes_scored,mean_abs_half0,mean_abs_half1,r,control
SYNL0,SYND0,0.05,2000,1.4053,1.3867,0.3314,positive (planted r = 0.5)
SYNL0,SYND1,0.05,2000,1.3639,1.4091,0.3282,positive (planted r = 0.5)
SYNL0,SYND2,0.05,2000,1.3382,1.38,0.334,positive (planted r = 0.5)
SYNL0,SYND3,0.05,2000,1.421,1.4127,0.3351,positive (planted r = 0.5)
SYNL0,SYND4,0.05,2000,1.3639,1.347,0.295,positive (planted r = 0.5)
SYNL0,SYND5,0.05,2000,1.4178,1.3755,0.3486,positive (planted r = 0.5)
SYNL0,SYND6,0.05,2000,1.3425,1.4043,0.3713,positive (planted r = 0.5)
SYNL0,SYND7,0.05,2000,1.3517,1.3945,0.3198,positive (planted r = 0.5)
SYNL0,SYND8,0.05,2000,1.3691,1.3583,0.3034,positive (planted r = 0.5)
SYNL0,SYND9,0.05,2000,1.4153,1.3922,0.325,positive (planted r = 0.5)
SYNL1,SYND0,0.05,2000,1.3995,1.4007,0.3371,positive (planted r = 0.5)
SYNL1,SYND1,0.05,2000,1.3688,1.3643,0.3148,positive (planted r = 0.5)
SYNL1,SYND2,0.05,2000,1.3702,1.3822,0.3087,positive (planted r = 0.5)
SYNL1,SYND3,0.05,2000,1.411,1.3929,0.3212,positive (planted r = 0.5)
SYNL1,SYND4,0.05,2000,1.3887,1.3808,0.3414,positive (planted r = 0.5)
SYNL1,SYND5,0.05,2000,1.3591,1.3852,0.3359,positive (planted r = 0.5)
SYNL1,SYND6,0.05,2000,1.4037,1.3927,0.3387,positive (planted r = 0.5)
SYNL1,SYND7,0.05,2000,1.4092,1.4053,0.3759,positive (planted r = 0.5)
SYNL1,SYND8,0.05,2000,1.3833,1.3927,0.3746,positive (planted r = 0.5)
SYNL1,SYND9,0.05,2000,1.4134,1.3884,0.332,positive (planted r = 0.5)
SYNL10,SYND0,0.05,2000,1.3628,1.3838,0.3353,positive (planted r = 0.5)
SYNL10,SYND1,0.05,2000,1.3851,1.3605,0.328,positive (planted r = 0.5)
SYNL10,SYND2,0.05,2000,1.3591,1.3921,0.3414,positive (planted r = 0.5)
SYNL10,SYND3,0.05,2000,1.4145,1.3846,0.3331,positive (planted r = 0.5)
SYNL10,SYND4,0.05,2000,1.3894,1.3555,0.3208,positive (planted r = 0.5)
SYNL10,SYND5,0.05,2000,1.3795,1.4014,0.3324,positive (planted r = 0.5)
SYNL10,SYND6,0.05,2000,1.3916,1.3676,0.3023,positive (planted r = 0.5)
SYNL10,SYND7,0.05,2000,1.3385,1.3882,0.3279,positive (planted r = 0.5)
SYNL10,SYND8,0.05,2000,1.4042,1.3566,0.2934,positive (planted r = 0.5)
SYNL10,SYND9,0.05,2000,1.388,1.3824,0.3283,positive (planted r = 0.5)
SYNL11,SYND0,0.05,2000,1.3948,1.4126,0.3438,positive (planted r = 0.5)
SYNL11,SYND1,0.05,2000,1.396,1.3751,0.3759,positive (planted r = 0.5)
SYNL11,SYND2,0.05,2000,1.3773,1.3981,0.3009,positive (planted r = 0.5)
SYNL11,SYND3,0.05,2000,1.3784,1.386,0.3468,positive (planted r = 0.5)
SYNL11,SYND4,0.05,2000,1.3685,1.3983,0.3487,positive (planted r = 0.5)
SYNL11,SYND5,0.05,2000,1.3986,1.3528,0.3086,positive (planted r = 0.5)
SYNL11,SYND6,0.05,2000,1.4105,1.3957,0.3278,positive (planted r = 0.5)
SYNL11,SYND7,0.05,2000,1.3887,1.4028,0.3111,positive (planted r = 0.5)
SYNL11,SYND8,0.05,2000,1.3787,1.374,0.3466,positive (planted r = 0.5)
SYNL11,SYND9,0.05,2000,1.335,1.4379,0.33,positive (planted r = 0.5)
SYNL12,SYND0,0.05,2000,1.4085,1.3809,0.3438,positive (planted r = 0.5)
SYNL12,SYND1,0.05,2000,1.3452,1.3916,0.3051,positive (planted r = 0.5)
SYNL12,SYND2,0.05,2000,1.3755,1.3921,0.3267,positive (planted r = 0.5)
SYNL12,SYND3,0.05,2000,1.3566,1.3741,0.347,positive (planted r = 0.5)
SYNL12,SYND4,0.05,2000,1.4169,1.3644,0.3411,positive (planted r = 0.5)
SYNL12,SYND5,0.05,2000,1.3527,1.369,0.3473,positive (planted r = 0.5)
SYNL12,SYND6,0.05,2000,1.3932,1.3808,0.3307,positive (planted r = 0.5)
SYNL12,SYND7,0.05,2000,1.3447,1.3635,0.3621,positive (planted r = 0.5)
SYNL12,SYND8,0.05,2000,1.3726,1.3707,0.3241,positive (planted r = 0.5)
SYNL12,SYND9,0.05,2000,1.3956,1.3575,0.357,positive (planted r = 0.5)
SYNL13,SYND0,0.05,2000,1.3925,1.3488,0.3316,positive (planted r = 0.5)
SYNL13,SYND1,0.05,2000,1.3717,1.3662,0.3307,positive (planted r = 0.5)
SYNL13,SYND2,0.05,2000,1.3647,1.3839,0.3092,positive (planted r = 0.5)
SYNL13,SYND3,0.05,2000,1.3777,1.3766,0.3312,positive (planted r = 0.5)
SYNL13,SYND4,0.05,2000,1.3631,1.3844,0.3337,positive (planted r = 0.5)
SYNL13,SYND5,0.05,2000,1.3861,1.4052,0.3557,positive (planted r = 0.5)
SYNL13,SYND6,0.05,2000,1.3912,1.3445,0.3207,positive (planted r = 0.5)
SYNL13,SYND7,0.05,2000,1.3653,1.3927,0.3168,positive (planted r = 0.5)
SYNL13,SYND8,0.05,2000,1.3578,1.3568,0.3492,positive (planted r = 0.5)
