dose,weighting,gene_set,n_pairs,splithalf_mean_r,splithalf_median_r,spearman_brown_full,null_diff_drug_mean_r,null_same_drug_mean_r,null_n_draws,p_vs_null,p_vs_same_drug,mde_80_vs_diff_drug,mde_80_vs_same_drug
0.05,per_triple,all,1245,0.0289,0.021,0.0561,0.019,0.02,500.0,0.0005,0.0005,0.0218,0.0227
0.5,per_triple,all,1000,0.0239,0.0109,0.0466,0.002,0.01,500.0,0.0005,0.0005,0.0042,0.013
5.0,per_triple,all,5396,0.0808,0.0748,0.1494,0.022,0.061,500.0,0.0005,0.0005,0.0232,0.0638
all,per_triple,all,7641,0.0649,0.0627,0.1218,0.017,0.042,500.0,0.0005,0.0005,0.0179,0.0443
all,per_line_drug,all,5891,0.0766,0.0713,0.1424,,,,,,,
0.05,per_triple,responder,1129,0.1359,0.06,0.2393,0.065,0.068,449.0,0.0005,0.0005,0.0778,0.0824
0.5,per_triple,responder,890,0.0352,0.0155,0.0679,-0.028,0.024,442.0,0.0005,0.026,-0.011,0.0422
5.0,per_triple,responder,4635,0.5768,0.6691,0.7316,0.161,0.357,424.0,0.0005,0.0005,0.1693,0.3659
all,per_triple,responder,6654,0.4296,0.5966,0.601,0.106,0.257,431.0,0.0005,0.0005,0.1135,0.2662
all,per_line_drug,responder,5128,0.5249,0.6443,0.6884,,,,,,,
