gene_set,n_pairs,mde,observed
all,10,0.051,False
all,18,0.0434,False
all,33,0.0365,False
all,61,0.0317,False
all,111,0.0273,False
all,204,0.0247,False
all,373,0.0224,False
all,683,0.0208,False
all,1249,0.0198,False
all,2285,0.0188,False
all,4178,0.0183,False
all,7641,0.0179,True
responder,10,0.2971,False
responder,18,0.2502,False
responder,32,0.2128,False
responder,58,0.1816,False
responder,106,0.162,False
responder,191,0.1496,False
responder,346,0.1375,False
responder,625,0.1301,False
responder,1130,0.1234,False
responder,2040,0.1197,False
responder,3685,0.1161,False
responder,6654,0.1135,True
