patient,drug,dose,n_gene_doses,var_lfc_mean,mean_se2_mean,sigma2_plate_pooled,between_plate_fraction_pooled,n_responder_gene_doses,var_lfc_mean_responders,mean_se2_mean_responders,sigma2_plate_pooled_responders,between_plate_fraction_pooled_responders,n_nonresponder_gene_doses,var_lfc_mean_nonresponders,mean_se2_mean_nonresponders,sigma2_plate_pooled_nonresponders,between_plate_fraction_pooled_nonresponders
ACH-000120,(R)-Verapamil (hydrochloride),5.0,17314,1.482872,3.202046,0.0,0.0,3,0.088246,0.036189,0.052057,0.589909,17311,1.483114,3.202595,0.0,0.0
ACH-000120,18β-Glycyrrhetinic acid,5.0,16513,1.543075,3.511496,0.0,0.0,18,0.218082,0.073208,0.144874,0.66431,16495,1.544521,3.515248,0.0,0.0
ACH-000120,8-Hydroxyquinoline,5.0,16717,1.409215,3.19103,0.0,0.0,26,0.388975,0.099399,0.289576,0.744459,16691,1.410804,3.195846,0.0,0.0
ACH-000120,Acetohexamide,5.0,17316,1.504722,3.204985,0.0,0.0,7,0.16993,0.020092,0.149838,0.881764,17309,1.505262,3.206273,0.0,0.0
ACH-000120,Adagrasib,0.05,27374,1.829503,6.907766,0.0,0.0,148,0.330038,0.167059,0.162979,0.49382,27226,1.837654,6.944408,0.0,0.0
ACH-000120,Adenine,5.0,17079,1.361488,3.105085,0.0,0.0,22,0.369138,0.088838,0.2803,0.759337,17057,1.362768,3.108975,0.0,0.0
ACH-000120,Adenosine,5.0,17423,1.507467,3.109235,0.0,0.0,18,0.564261,0.061882,0.502379,0.89033,17405,1.508443,3.112386,0.0,0.0
ACH-000120,Afatinib,0.05,18558,1.631876,4.252893,0.0,0.0,111,0.744842,0.135192,0.60965,0.818496,18447,1.637214,4.27767,0.0,0.0
ACH-000120,Afatinib,0.5,21202,1.483137,3.865591,0.0,0.0,168,0.635962,0.068112,0.567849,0.892899,21034,1.489904,3.895922,0.0,0.0
ACH-000120,Afatinib,5.0,17466,1.83093,4.689269,0.0,0.0,119,1.243326,0.430539,0.812786,0.65372,17347,1.83496,4.718484,0.0,0.0
ACH-000120,Aliskiren,5.0,17245,1.450883,2.992117,0.0,0.0,2,0.221429,0.211393,0.010036,0.045322,17243,1.451025,2.99244,0.0,0.0
ACH-000120,Allantoin,5.0,16616,1.472861,3.266813,0.0,0.0,33,0.346946,0.074738,0.272207,0.784583,16583,1.475101,3.273165,0.0,0.0
ACH-000120,Almonertinib (hydrochloride),5.0,16390,1.537305,3.588965,0.0,0.0,33,0.395249,0.099405,0.295844,0.748501,16357,1.539609,3.596005,0.0,0.0
ACH-000120,Almonertinib (mesylate),0.05,16299,1.427061,3.118028,0.0,0.0,2,0.00437,0.005109,0.0,0.0,16297,1.427235,3.11841,0.0,0.0
ACH-000120,Almonertinib (mesylate),0.5,19434,1.279619,2.888846,0.0,0.0,65,0.307558,0.029319,0.278239,0.904671,19369,1.282881,2.898442,0.0,0.0
ACH-000120,Almonertinib (mesylate),5.0,16727,1.661945,3.494612,0.0,0.0,166,2.872152,0.443499,2.428653,0.845586,16561,1.649815,3.525195,0.0,0.0
ACH-000120,Amsacrine,5.0,16424,1.800698,3.660955,0.0,0.0,16,0.954795,0.151567,0.803228,0.841257,16408,1.801523,3.664377,0.0,0.0
ACH-000120,Anethole trithione,5.0,17034,1.411547,3.075637,0.0,0.0,20,0.260415,0.082263,0.178152,0.684109,17014,1.4129,3.079156,0.0,0.0
ACH-000120,Artesunate,5.0,16437,1.43909,3.238593,0.0,0.0,81,0.331634,0.100589,0.231044,0.696685,16356,1.444575,3.254133,0.0,0.0
ACH-000120,Azithromycin (hydrate),5.0,16655,1.491631,3.295105,0.0,0.0,2,0.073722,0.138577,0.0,0.0,16653,1.491801,3.295484,0.0,0.0
ACH-000120,Baicalin,5.0,17351,1.424864,3.105256,0.0,0.0,7,0.184954,0.021237,0.163717,0.885175,17344,1.425364,3.1065,0.0,0.0
