expression_quartile,response_quartile,n,var_lfc_mean,mean_se2_mean,between_plate_fraction_pooled,base_mean_mean,abs_mean_lfc_mean
1,1,16872,3.07415,9.50913,0.0,0.53336,0.07571
1,2,24258,3.04363,9.54854,0.0,0.53154,0.26429
1,3,48049,3.06582,9.43421,0.0,0.53772,0.61154
1,4,92845,3.89106,8.96204,0.0,0.58406,1.69097
2,1,23260,1.43263,1.40039,0.0225,3.51698,0.07585
2,2,33011,1.46138,1.43441,0.01846,3.49123,0.26233
2,3,56055,1.71315,1.58643,0.07397,3.30279,0.60355
2,4,69697,2.72692,2.29726,0.15756,2.75735,1.52059
3,1,51856,0.24575,0.23631,0.0384,22.064,0.07469
3,2,60291,0.27611,0.2555,0.07462,21.20855,0.2571
3,3,54813,0.39672,0.3267,0.17651,18.44148,0.56065
3,4,15063,1.11429,0.56624,0.49184,14.59625,1.26404
4,1,90036,0.05757,0.03944,0.31489,270.97817,0.07183
4,2,64463,0.07537,0.05235,0.30542,242.66101,0.24262
4,3,23106,0.19523,0.15546,0.20368,204.29649,0.5242
4,4,4419,1.6959,0.76655,0.548,305.72557,1.32478
