stratum,r,gene_set
any_pair,0.0115,all
any_pair,0.0012,all
any_pair,0.0073,all
any_pair,0.0224,all
any_pair,-0.0163,all
any_pair,0.0398,all
any_pair,-0.0151,all
any_pair,0.1069,all
any_pair,0.0517,all
any_pair,0.0031,all
any_pair,0.0252,all
any_pair,0.0157,all
any_pair,0.0032,all
any_pair,0.0018,all
any_pair,0.0449,all
any_pair,0.0475,all
any_pair,0.0063,all
any_pair,0.0516,all
any_pair,0.0659,all
any_pair,0.0108,all
any_pair,-0.0343,all
any_pair,-0.0243,all
any_pair,0.017,all
any_pair,0.0045,all
any_pair,0.0542,all
any_pair,0.0329,all
any_pair,0.0469,all
any_pair,0.0215,all
any_pair,-0.0042,all
any_pair,0.1237,all
any_pair,-0.0515,all
any_pair,0.0044,all
any_pair,0.0157,all
any_pair,0.0309,all
any_pair,0.0179,all
any_pair,-0.0305,all
any_pair,0.017,all
any_pair,0.0494,all
any_pair,0.0416,all
any_pair,0.0242,all
any_pair,-0.0108,all
any_pair,0.0146,all
any_pair,-0.0293,all
any_pair,0.0313,all
any_pair,0.0237,all
any_pair,-0.0523,all
any_pair,-0.0001,all
any_pair,0.0347,all
any_pair,-0.006,all
any_pair,0.0102,all
any_pair,0.0478,all
any_pair,0.0412,all
any_pair,0.0086,all
any_pair,0.0143,all
any_pair,0.0346,all
any_pair,0.0129,all
any_pair,0.0502,all
any_pair,0.127,all
any_pair,0.0521,all
any_pair,0.0208,all
any_pair,0.0126,all
any_pair,0.0152,all
any_pair,0.0074,all
any_pair,0.0201,all
any_pair,0.0054,all
any_pair,0.0094,all
any_pair,0.0536,all
any_pair,-0.0202,all
any_pair,-0.0119,all
any_pair,0.0034,all
any_pair,-0.0412,all
any_pair,0.0095,all
any_pair,-0.0238,all
any_pair,-0.0237,all
any_pair,0.0354,all
any_pair,0.0337,all
any_pair,0.0133,all
any_pair,0.0357,all
any_pair,-0.053,all
any_pair,0.0062,all
any_pair,0.0187,all
any_pair,0.0046,all
any_pair,0.0156,all
any_pair,0.0272,all
any_pair,-0.0184,all
any_pair,0.0155,all
any_pair,0.0046,all
any_pair,0.0209,all
any_pair,0.0016,all
any_pair,0.0039,all
any_pair,0.0303,all
any_pair,0.0317,all
any_pair,0.0449,all
any_pair,-0.038,all
any_pair,0.0128,all
any_pair,0.0159,all
any_pair,0.0152,all
any_pair,0.0036,all
any_pair,0.037,all
any_pair,0.0579,all
any_pair,-0.0002,all
any_pair,0.021,all
any_pair,0.058,all
any_pair,0.0053,all
any_pair,0.0237,all
any_pair,0.0005,all
any_pair,0.0362,all
any_pair,0.1076,all
any_pair,0.053,all
any_pair,0.0287,all
any_pair,0.0464,all
any_pair,0.0364,all
any_pair,0.0438,all
any_pair,0.0278,all
any_pair,0.0387,all
any_pair,0.0123,all
any_pair,0.0138,all
any_pair,-0.0222,all
any_pair,0.001,all
any_pair,-0.0452,all
any_pair,0.0543,all
any_pair,0.0248,all
any_pair,0.008,all
any_pair,0.0564,all
any_pair,0.0169,all
any_pair,0.0135,all
any_pair,0.0445,all
any_pair,0.0441,all
any_pair,0.0199,all
any_pair,0.0337,all
any_pair,0.0323,all
any_pair,-0.0012,all
any_pair,0.0829,all
any_pair,0.0235,all
any_pair,0.026,all
any_pair,0.0351,all
any_pair,0.0164,all
any_pair,-0.0094,all
any_pair,0.0573,all
any_pair,-0.0159,all
any_pair,0.0184,all
any_pair,0.0258,all
any_pair,-0.0084,all
any_pair,0.0454,all
any_pair,-0.0028,all
any_pair,0.0224,all
