stratum,r,gene_set,dose
any_pair,-0.0077,all,0.05
any_pair,0.0039,all,0.05
any_pair,0.0112,all,0.05
any_pair,0.0081,all,0.05
any_pair,0.0095,all,0.05
any_pair,0.027,all,0.05
any_pair,0.0404,all,0.05
any_pair,0.0182,all,0.05
any_pair,0.0147,all,0.05
any_pair,0.0196,all,0.05
any_pair,0.0229,all,0.05
any_pair,0.0043,all,0.05
any_pair,0.0165,all,0.05
any_pair,0.0291,all,0.05
any_pair,0.0032,all,0.05
any_pair,-0.0007,all,0.05
any_pair,0.0328,all,0.05
any_pair,0.0625,all,0.05
any_pair,0.0003,all,0.05
any_pair,-0.0003,all,0.05
any_pair,0.0202,all,0.05
any_pair,0.0212,all,0.05
any_pair,-0.0013,all,0.05
any_pair,0.0287,all,0.05
any_pair,0.0295,all,0.05
any_pair,0.0314,all,0.05
any_pair,0.0069,all,0.05
any_pair,0.0392,all,0.05
any_pair,0.0698,all,0.05
any_pair,-0.0076,all,0.05
any_pair,0.0248,all,0.05
any_pair,0.0026,all,0.05
any_pair,0.0384,all,0.05
any_pair,0.0004,all,0.05
any_pair,0.0368,all,0.05
any_pair,0.0114,all,0.05
any_pair,0.2564,all,0.05
any_pair,-0.0435,all,0.05
any_pair,0.0025,all,0.05
any_pair,0.009,all,0.05
any_pair,0.0018,all,0.05
any_pair,-0.0072,all,0.05
any_pair,0.0156,all,0.05
any_pair,0.0324,all,0.05
any_pair,0.0369,all,0.05
any_pair,0.0595,all,0.05
any_pair,0.0107,all,0.05
any_pair,-0.0097,all,0.05
any_pair,0.004,all,0.05
any_pair,0.0206,all,0.05
any_pair,0.0328,all,0.05
any_pair,0.0337,all,0.05
any_pair,-0.0049,all,0.05
any_pair,0.0163,all,0.05
any_pair,0.0066,all,0.05
any_pair,0.0139,all,0.05
any_pair,-0.0134,all,0.05
any_pair,0.0268,all,0.05
any_pair,0.0032,all,0.05
any_pair,-0.0038,all,0.05
any_pair,0.0186,all,0.05
any_pair,0.0398,all,0.05
any_pair,-0.0088,all,0.05
any_pair,-0.0239,all,0.05
any_pair,0.0443,all,0.05
any_pair,-0.0033,all,0.05
any_pair,0.0592,all,0.05
any_pair,-0.0105,all,0.05
any_pair,0.0313,all,0.05
any_pair,0.0683,all,0.05
any_pair,0.0578,all,0.05
any_pair,-0.0012,all,0.05
any_pair,0.0458,all,0.05
any_pair,0.0615,all,0.05
any_pair,0.0188,all,0.05
any_pair,0.0285,all,0.05
any_pair,0.0094,all,0.05
any_pair,0.0525,all,0.05
any_pair,0.0075,all,0.05
any_pair,0.0062,all,0.05
any_pair,-0.0191,all,0.05
any_pair,0.0283,all,0.05
any_pair,0.011,all,0.05
any_pair,0.0051,all,0.05
any_pair,-0.0183,all,0.05
any_pair,0.0027,all,0.05
any_pair,0.0017,all,0.05
any_pair,-0.0088,all,0.05
any_pair,0.0052,all,0.05
any_pair,0.0087,all,0.05
any_pair,0.0338,all,0.05
any_pair,0.0229,all,0.05
any_pair,0.0265,all,0.05
any_pair,0.0145,all,0.05
any_pair,-0.0089,all,0.05
any_pair,0.0336,all,0.05
any_pair,0.02,all,0.05
any_pair,-0.0066,all,0.05
any_pair,0.0426,all,0.05
any_pair,-0.0183,all,0.05
any_pair,0.0388,all,0.05
any_pair,0.0338,all,0.05
any_pair,0.0061,all,0.05
any_pair,0.0237,all,0.05
any_pair,0.0744,all,0.05
any_pair,0.0093,all,0.05
any_pair,0.0087,all,0.05
any_pair,0.0011,all,0.05
any_pair,-0.006,all,0.05
any_pair,-0.0216,all,0.05
any_pair,0.0341,all,0.05
any_pair,0.0045,all,0.05
any_pair,0.0193,all,0.05
any_pair,0.038,all,0.05
any_pair,0.0681,all,0.05
any_pair,0.0244,all,0.05
any_pair,-0.0033,all,0.05
any_pair,0.0406,all,0.05
any_pair,-0.0015,all,0.05
any_pair,0.0236,all,0.05
any_pair,0.0095,all,0.05
any_pair,0.0298,all,0.05
any_pair,0.0025,all,0.05
any_pair,0.0361,all,0.05
any_pair,0.0081,all,0.05
any_pair,0.0173,all,0.05
any_pair,0.1141,all,0.05
any_pair,-0.0192,all,0.05
any_pair,0.0168,all,0.05
any_pair,0.1392,all,0.05
any_pair,0.0422,all,0.05
any_pair,0.0352,all,0.05
any_pair,0.0157,all,0.05
any_pair,-0.0001,all,0.05
any_pair,-0.0189,all,0.05
any_pair,0.0234,all,0.05
any_pair,0.011,all,0.05
any_pair,0.0503,all,0.05
any_pair,0.0017,all,0.05
any_pair,-0.0194,all,0.05
any_pair,-0.004,all,0.05
any_pair,0.0185,all,0.05
any_pair,0.0393,all,0.05
any_pair,0.0189,all,0.05
any_pair,-0.0064,all,0.05
any_pair,-0.0002,all,0.05
any_pair,0.0398,all,0.05
any_pair,0.0165,all,0.05
any_pair,0.0006,all,0.05
any_pair,0.0025,all,0.05
any_pair,0.0325,all,0.05
any_pair,0.0049,all,0.05
any_pair,0.0149,all,0.05
any_pair,-0.0048,all,0.05
any_pair,-0.0072,all,0.05
any_pair,0.0079,all,0.05
any_pair,0.0207,all,0.05
any_pair,-0.0078,all,0.05
any_pair,0.0149,all,0.05
any_pair,0.0134,all,0.05
any_pair,0.0306,all,0.05
any_pair,-0.0185,all,0.05
any_pair,0.0335,all,0.05
any_pair,-0.0014,all,0.05
any_pair,0.0357,all,0.05
any_pair,0.008,all,0.05
any_pair,0.0306,all,0.05
any_pair,-0.0,all,0.05
