gene,n_pairs,r
LINC00905,22,0.8075
ENSG00000286405,36,0.719
ENSG00000286142,109,0.6849
ENSG00000236800,27,0.6831
WARS1P1,38,0.6787
ENSG00000215097,21,0.6785
ENSG00000237856,61,0.6751
OR13C4,29,0.6664
ENSG00000284095,89,0.6591
ZNF101P1,23,0.6523
RNU1-22P,62,0.6496
PDE4DIPP7,36,0.6456
RPL6P16,51,0.6387
CCNB1IP1P1,31,0.6282
LINC02164,37,0.625
RPLP0P3,55,0.6225
ENSG00000227687,20,0.6182
ENSG00000226036,24,0.6037
ADAD2,27,0.5999
OR10A6,173,0.5878
ENSG00000235371,82,0.5858
RRAS2P2,30,0.5839
ENSG00000253189,125,0.5804
ENSG00000251478,22,0.5756
PDE6H,114,0.5697
ENSG00000255216,33,0.568
TPT1P1,25,0.5649
EEF1GP8,22,0.5601
ANKRD44-DT,21,0.5581
GVINP2,25,0.5573
REXO1L1P,52,0.5511
CACNA1G-AS1,59,0.5491
ENSG00000287504,44,0.5477
SMIM12P1,30,0.5467
SLC6A14P2,33,0.5466
LINC02374,33,0.5437
THAP12P5,26,0.5412
RN7SL717P,24,0.5409
MTCYBP19,21,0.5405
ENSG00000259989,43,0.5391
MROH4P,21,0.5351
KRT8P47,70,0.5304
ENSG00000288970,20,0.5259
ENSG00000289991,109,0.5209
PRELID3BP5,23,0.52
ENSG00000283259,45,0.5184
ENSG00000285562,46,0.5175
ENSG00000270989,28,0.5161
ENSG00000232383,24,0.5152
ENSG00000270992,146,0.5111
LINC01774,26,0.5106
OR6B1,72,0.5081
FAM136CP,26,0.5078
OOSP4A,156,0.5064
ENSG00000289901,7363,0.5027
OR51C1P,116,0.502
ENSG00000286498,66,0.4966
APLNR,33,0.4916
LILRB2,20,0.4882
SERF1AP1,21,0.4881
RN7SKP255,6545,0.4864
ENSG00000288657,43,0.4864
RPL12P30,46,0.4776
ENSG00000289967,27,0.4775
SNRPGP17,125,0.4743
IGHD,31,0.4729
OR2T32P,20,0.4723
AIF1,261,0.4722
ENSG00000248423,21,0.4718
CHCHD2P4,104,0.4717
ENSG00000289639,23,0.4698
ENSG00000271343,110,0.4697
ENSG00000274330,114,0.4692
RNU6-239P,69,0.4692
GSC2,70,0.468
OFD1P1Y,59,0.4664
ENSG00000251049,28,0.4657
SLC17A2,486,0.4654
PPIAP45,80,0.4637
IGHA2,86,0.4624
RNU4-2,7400,0.4612
ENSG00000271099,23,0.4607
ENSG00000268615,82,0.4593
DUSP6,7579,0.459
OR52A1,57,0.4572
ENSG00000229016,60,0.4547
ENSG00000287520,301,0.4533
PPP3R2,55,0.4527
MT2A,7630,0.4525
LIMK2P1,28,0.4513
ENSG00000236412,27,0.4491
ENSG00000288922,34,0.4468
ENSG00000278580,28,0.4459
ENSG00000280268,30,0.4448
ITGA2,7640,0.4437
ENSG00000239532,70,0.4436
ENSG00000230285,55,0.4427
OR7H1P,26,0.4418
ENSG00000261462,37,0.4417
ENSG00000267674,32,0.4405
ENSG00000284727,168,0.4401
ENSG00000262296,69,0.4401
ENSG00000229283,34,0.4375
SPRY4,7513,0.4369
TRH,76,0.4368
MT-ND4L,7472,0.4366
FDPSP1,30,0.4364
ENSG00000266479,221,0.4361
ENSG00000284610,95,0.4359
RN7SL416P,21,0.4357
ENSG00000283213,40,0.4341
ENSG00000285191,31,0.434
ENSG00000228292,52,0.4339
ENSG00000257284,69,0.4302
MED28P3,25,0.43
ENSG00000290819,20,0.4297
ENSG00000250194,105,0.4287
EGR1,7636,0.4276
PAGE3,21,0.4274
ENSG00000284614,22,0.4267
ENSG00000286986,23,0.426
ENSG00000290828,23,0.426
ENSG00000285564,54,0.4249
ENSG00000279172,20,0.424
ENSG00000261078,27,0.4228
OR2V1,41,0.4225
LINC02070,37,0.4218
ENSG00000249287,89,0.4216
ENSG00000258888,119,0.4216
RN7SKP71,7160,0.4215
OR10A3,109,0.4204
OR8B12,23,0.42
BHLHE22,40,0.4195
BPIFA4P,247,0.4169
TBC1D3D,69,0.4158
ENSG00000219549,280,0.4156
ENSG00000278982,36,0.4153
METAP2P1,31,0.415
ENSG00000286204,375,0.4123
MC4R,77,0.4115
EVX2,120,0.4101
7SK,7606,0.4087
ENSG00000226601,110,0.4073
LILRP1,211,0.406
CCL4,203,0.4055
RPSAP47,99,0.4048
ENSG00000248625,22,0.4039
ENSG00000285744,7479,0.4034
ENSG00000284745,38,0.403
OR4N5,37,0.403
ENSG00000290042,66,0.4019
DHFR,7523,0.4016
RN7SKP19,361,0.4012
ETV5,7559,0.4012
LLPHP1,59,0.3992
ENSG00000284003,23,0.3986
UBE2FP2,36,0.3982
Y_RNA-628,32,0.3977
ENSG00000259001,7323,0.397
MTND2P31,129,0.3968
DUXAP7,72,0.3961
ENSG00000287927,115,0.396
ENSG00000269993,211,0.3954
IER2,7591,0.3953
NEAT1,7641,0.3952
ENSG00000253403,111,0.3945
ENSG00000280276,201,0.3938
SPRY4-AS1,7596,0.3935
KMT2CP2,51,0.3933
TENT5C-DT,126,0.3933
ENSG00000255440,112,0.3922
ENSG00000285040,110,0.3918
LINC00919,58,0.3913
