patient,drug,dose,n_first,n_second,n_both,jaccard
ACH-000120,(R)-Verapamil (hydrochloride),5.0,3,104,2,0.019
ACH-000120,18β-Glycyrrhetinic acid,5.0,18,234,11,0.0456
ACH-000120,8-Hydroxyquinoline,5.0,26,79,14,0.1538
ACH-000120,Acetohexamide,5.0,7,112,4,0.0348
ACH-000120,Adagrasib,0.05,148,266,50,0.1374
ACH-000120,Adenine,5.0,22,81,12,0.1319
ACH-000120,Adenosine,5.0,18,193,7,0.0343
ACH-000120,Afatinib,0.05,111,17,8,0.0667
ACH-000120,Afatinib,0.5,168,30,9,0.0476
ACH-000120,Afatinib,5.0,119,49,9,0.0566
ACH-000120,Aliskiren,5.0,2,69,2,0.029
ACH-000120,Allantoin,5.0,33,276,18,0.0619
ACH-000120,Almonertinib (hydrochloride),5.0,33,211,15,0.0655
ACH-000120,Almonertinib (mesylate),0.05,2,5,1,0.1667
ACH-000120,Almonertinib (mesylate),0.5,65,116,9,0.0523
ACH-000120,Almonertinib (mesylate),5.0,166,30,7,0.037
ACH-000120,Amsacrine,5.0,16,484,11,0.0225
ACH-000120,Anethole trithione,5.0,20,71,12,0.1519
ACH-000120,Artesunate,5.0,81,450,53,0.1109
ACH-000120,Azithromycin (hydrate),5.0,2,159,2,0.0126
ACH-000120,Baicalin,5.0,7,79,6,0.075
ACH-000120,Balsalazide (sodium hydrate),5.0,1,71,1,0.0141
ACH-000120,Belumosudil,0.05,4,6,2,0.25
ACH-000120,Belumosudil,0.5,31,615,13,0.0205
ACH-000120,Belumosudil,5.0,149,155,12,0.0411
ACH-000120,Berbamine,0.5,102,55,13,0.0903
ACH-000120,Berbamine,5.0,10,225,7,0.0307
ACH-000120,Berbamine (dihydrochloride),0.05,42,32,9,0.1385
ACH-000120,Berbamine (dihydrochloride),0.5,21,60,8,0.1096
ACH-000120,Berbamine (dihydrochloride),5.0,140,36,8,0.0476
ACH-000120,Berberine (chloride hydrate),5.0,5,65,4,0.0606
ACH-000120,Bergenin,5.0,8,135,5,0.0362
ACH-000120,Bimatoprost,5.0,9,133,4,0.029
ACH-000120,Binimetinib,0.05,233,320,51,0.1016
ACH-000120,Binimetinib,0.5,251,712,78,0.0881
ACH-000120,Binimetinib,5.0,599,23,13,0.0213
ACH-000120,Busulfan,5.0,23,177,9,0.0471
ACH-000120,Captopril,0.05,128,104,9,0.0404
ACH-000120,Cepharanthine,5.0,22,311,11,0.0342
ACH-000120,Chlorhexidine (diacetate),0.5,103,26,6,0.0488
ACH-000120,Chlorhexidine (diacetate),5.0,10,107,8,0.0734
ACH-000120,Ciclopirox,5.0,14,253,12,0.0471
ACH-000120,Clonidine (hydrochloride),5.0,7,153,4,0.0256
ACH-000120,Clotrimazole,5.0,25,180,14,0.0733
ACH-000120,Cloxacillin (sodium),5.0,3,23,2,0.0833
ACH-000120,Cysteamine (hydrochloride),5.0,3,107,2,0.0185
ACH-000120,Cytarabine,0.05,106,10,2,0.0175
ACH-000120,Cytarabine,0.5,78,55,8,0.064
ACH-000120,Cytarabine,5.0,44,116,5,0.0323
ACH-000120,Daidzin,0.05,39,17,5,0.098
ACH-000120,Daidzin,0.5,55,42,4,0.043
ACH-000120,Daidzin,5.0,147,77,7,0.0323
ACH-000120,Darinaparsin,5.0,5,471,4,0.0085
ACH-000120,Demeclocycline,5.0,5,60,4,0.0656
ACH-000120,Diammonium Glycyrrhizinate,5.0,11,163,9,0.0545
ACH-000120,Docetaxel,5.0,48,240,20,0.0746
ACH-000120,Elagolix sodium,5.0,13,205,9,0.0431
ACH-000120,Flumatinib (mesylate),0.05,61,44,8,0.0825
ACH-000120,Flumatinib (mesylate),0.5,30,450,12,0.0256
ACH-000120,Flumatinib (mesylate),5.0,31,91,9,0.0796
ACH-000120,Fluvoxamine (maleate),5.0,1,140,1,0.0071
ACH-000120,Folic acid,5.0,8,16,4,0.2
ACH-000120,Fumaric acid,0.05,30,17,3,0.0682
ACH-000120,Fumaric acid,0.5,48,112,10,0.0667
ACH-000120,Fumaric acid,5.0,46,175,7,0.0327
ACH-000120,Furosemide,5.0,4,86,3,0.0345
ACH-000120,Fusidic acid,5.0,1,39,0,0.0
ACH-000120,Gallic acid,5.0,4,75,3,0.0395
ACH-000120,Gallic acid (hydrate),5.0,21,130,12,0.0863
ACH-000120,Gemfibrozil,5.0,19,249,11,0.0428
ACH-000120,Goserelin (acetate),5.0,6,77,4,0.0506
ACH-000120,Hexylresorcinol,5.0,19,155,14,0.0875
ACH-000120,Homoharringtonine,5.0,1722,2985,1293,0.3787
ACH-000120,Hydroxyfasudil,0.05,91,63,8,0.0548
ACH-000120,Idarubicin (hydrochloride),5.0,736,1824,414,0.1929
ACH-000120,Irinotecan (hydrochloride),0.05,229,9,5,0.0215
ACH-000120,Irinotecan (hydrochloride),0.5,149,104,17,0.072
