patient,drug,dose,plate,half,n_rows,frac_untestable
ACH-000120,(R)-Verapamil (hydrochloride),0.05,4,0,62710,0.6929995216073992
ACH-000120,(R)-Verapamil (hydrochloride),0.5,5,0,62710,0.7016584276829851
ACH-000120,(R)-Verapamil (hydrochloride),5.0,14,0,62710,0.6866528464359751
ACH-000120,(R)-Verapamil (hydrochloride),5.0,6,1,62710,0.6716632116089938
ACH-000120,(S)-Crizotinib,0.05,7,0,62710,0.6871152926168075
ACH-000120,(S)-Crizotinib,0.5,8,0,62710,0.647392760325307
ACH-000120,(S)-Crizotinib,5.0,9,0,62710,0.7026949449848509
ACH-000120,18β-Glycyrrhetinic acid,0.05,4,0,62710,0.708818370275873
ACH-000120,18β-Glycyrrhetinic acid,0.5,5,0,62710,0.7050709615691277
ACH-000120,18β-Glycyrrhetinic acid,5.0,14,0,62710,0.701881677563387
ACH-000120,18β-Glycyrrhetinic acid,5.0,6,1,62710,0.6826981342688566
ACH-000120,4EGI-1,0.05,1,0,62710,0.6881996491787594
ACH-000120,4EGI-1,0.5,2,0,62710,0.638080051028544
ACH-000120,4EGI-1,5.0,3,0,62710,0.7709934619677883
ACH-000120,5-Azacytidine,0.05,10,0,62710,0.6712964439483337
ACH-000120,5-Azacytidine,0.5,11,0,62710,0.6841014192313826
ACH-000120,5-Azacytidine,5.0,12,0,62710,0.6431829054377293
ACH-000120,5-Fluorouracil,0.05,10,0,62710,0.6734970499122946
ACH-000120,5-Fluorouracil,0.5,11,0,62710,0.6764311911975761
ACH-000120,5-Fluorouracil,5.0,12,0,62710,0.6334874820602775
ACH-000120,8-Hydroxyquinoline,0.05,4,0,62710,0.7011959815021528
ACH-000120,8-Hydroxyquinoline,0.5,5,0,62710,0.6967309838941158
ACH-000120,8-Hydroxyquinoline,5.0,14,0,62710,0.7057088183702759
ACH-000120,8-Hydroxyquinoline,5.0,6,1,62710,0.6645989475362781
ACH-000120,9-ING-41,0.05,1,0,62710,0.688167756338702
ACH-000120,9-ING-41,0.5,2,0,62710,0.6703715515866688
ACH-000120,9-ING-41,5.0,3,0,62710,0.7256258969861266
ACH-000120,APTO-253,0.05,1,0,62710,0.6786317971615372
ACH-000120,APTO-253,0.5,2,0,62710,0.6464359751235847
ACH-000120,APTO-253,5.0,3,0,62710,0.735289427523521
ACH-000120,AT7519,0.05,1,0,62710,0.6926487003667676
ACH-000120,AT7519,0.5,2,0,62710,0.6511401690320523
ACH-000120,AT7519,5.0,3,0,62710,0.7819167596874501
ACH-000120,AZD-7648,0.05,1,0,62710,0.6817891883272206
ACH-000120,AZD-7648,0.5,2,0,62710,0.6673736246212725
ACH-000120,AZD-7648,5.0,3,0,62710,0.7838941157710094
ACH-000120,AZD-8055,0.05,1,0,62710,0.6917397544251316
ACH-000120,AZD-8055,0.5,2,0,62710,0.6478392600861107
ACH-000120,AZD-8055,5.0,3,0,62710,0.7573114335831606
ACH-000120,AZD1390,0.05,1,0,62710,0.6829213841492585
ACH-000120,AZD1390,0.5,2,0,62710,0.6574549513634189
ACH-000120,AZD1390,5.0,3,0,62710,0.7612980385903365
ACH-000120,AZD2858,0.05,1,0,62710,0.6865093286557168
ACH-000120,AZD2858,0.5,2,0,62710,0.6740232817732419
ACH-000120,AZD2858,5.0,3,0,62710,0.7769733694785521
ACH-000120,Abemaciclib,0.05,13,0,62710,0.6553340774996014
ACH-000120,Abemaciclib,0.5,2,0,62710,0.639913889331845
ACH-000120,Abemaciclib,5.0,3,0,62710,0.7518896507734014
ACH-000120,Abiraterone acetate,0.05,10,0,62710,0.6630521447934938
ACH-000120,Abiraterone acetate,0.5,11,0,62710,0.6652049114973688
ACH-000120,Abiraterone acetate,5.0,12,0,62710,0.640073353532132
ACH-000120,Acetazolamide,0.05,10,0,62710,0.6711369797480465
ACH-000120,Acetazolamide,0.5,11,0,62710,0.6822675809280816
ACH-000120,Acetazolamide,5.0,12,0,62710,0.6436134587785042
ACH-000120,Acetohexamide,0.05,4,0,62710,0.6954393238717907
ACH-000120,Acetohexamide,0.5,5,0,62710,0.6986286078775314
ACH-000120,Acetohexamide,5.0,14,0,62710,0.6837665444107798
ACH-000120,Acetohexamide,5.0,6,1,62710,0.6741189602934141
ACH-000120,Adagrasib,0.05,1,0,62710,0.6970977515547759
ACH-000120,Adagrasib,0.05,10,1,62710,0.6676447137617605
ACH-000120,Adagrasib,0.05,11,0,62710,0.677675011959815
ACH-000120,Adagrasib,0.05,12,1,62710,0.6348269813426886
ACH-000120,Adagrasib,0.05,13,0,62710,0.635767820124382
ACH-000120,Adagrasib,0.05,14,1,62710,0.7004943390208898
ACH-000120,Adagrasib,0.05,2,0,62710,0.6480784563865413
ACH-000120,Adagrasib,0.05,3,1,62710,0.7742465316536438
ACH-000120,Adagrasib,0.05,4,0,62710,0.6917875936852177
ACH-000120,Adagrasib,0.05,5,1,62710,0.6948333599107
ACH-000120,Adagrasib,0.05,6,0,62710,0.6612661457502791
ACH-000120,Adagrasib,0.05,7,1,62710,0.6845160261521288
ACH-000120,Adagrasib,0.05,8,0,62710,0.6447775474405996
ACH-000120,Adagrasib,0.05,9,1,62710,0.7099186732578536
ACH-000120,Adagrasib,0.5,8,0,62710,0.6329453037793016
ACH-000120,Adagrasib,5.0,9,0,62710,0.7015786955828417
ACH-000120,Adenine,0.05,4,0,62710,0.6916919151650455
ACH-000120,Adenine,0.5,5,0,62710,0.6940519853292936
ACH-000120,Adenine,5.0,14,0,62710,0.7051985329293574
ACH-000120,Adenine,5.0,6,1,62710,0.6477276351459097
ACH-000120,Adenosine,0.05,4,0,62710,0.7035560516664009
ACH-000120,Adenosine,0.5,5,0,62710,0.6880720778185297
ACH-000120,Adenosine,5.0,14,0,62710,0.6813426885664169
ACH-000120,Adenosine,5.0,6,1,62710,0.673752192632754
ACH-000120,Afatinib,0.05,1,0,62710,0.6982140009567852
ACH-000120,Afatinib,0.05,13,1,62710,0.6688088024238559
ACH-000120,Afatinib,0.05,7,0,62710,0.715388295327699
ACH-000120,Afatinib,0.5,13,0,62710,0.6705150693669272
ACH-000120,Afatinib,0.5,2,1,62710,0.643629405198533
ACH-000120,Afatinib,0.5,8,0,62710,0.6428480306171265
ACH-000120,Afatinib,5.0,13,0,62710,0.6659703396587466
ACH-000120,Afatinib,5.0,3,1,62710,0.7596715037474087
ACH-000120,Afatinib,5.0,9,0,62710,0.7161696699091054
