patient,drug,dose,n_genes_scored,mean_abs_half0,mean_abs_half1,r,r_responder,n_responders,n_plates_even
ACH-000120,(R)-Verapamil (hydrochloride),5.0,17314,0.9246,0.8461,0.0206,,3,True
ACH-000120,18β-Glycyrrhetinic acid,5.0,16513,0.9507,0.9291,0.0499,,18,True
ACH-000120,8-Hydroxyquinoline,5.0,16717,0.9714,0.7781,0.0696,,26,True
ACH-000120,Acetohexamide,5.0,17316,0.9221,0.862,0.019,,7,True
ACH-000120,Adagrasib,0.05,25710,0.5134,0.5957,0.0737,0.8837,148,True
ACH-000120,Adenine,5.0,17079,0.9725,0.7267,0.0489,,22,True
ACH-000120,Adenosine,5.0,17423,0.9079,0.8579,0.0023,,18,True
ACH-000120,Afatinib,0.05,18071,0.7678,0.8273,0.0205,0.062,111,False
ACH-000120,Afatinib,0.5,20257,0.6471,0.8408,0.0136,-0.1849,168,False
ACH-000120,Afatinib,5.0,14377,0.6294,1.2412,0.0126,-0.0297,119,False
ACH-000120,Aliskiren,5.0,17245,0.9389,0.8057,0.0229,,2,True
ACH-000120,Allantoin,5.0,16616,0.9724,0.858,0.0666,,33,True
ACH-000120,Almonertinib (hydrochloride),5.0,16390,0.9675,0.9327,0.0788,,33,True
ACH-000120,Almonertinib (mesylate),0.05,16299,0.7936,0.9328,0.0312,,2,True
ACH-000120,Almonertinib (mesylate),0.5,19434,0.8746,0.701,0.0092,0.4371,65,True
ACH-000120,Almonertinib (mesylate),5.0,16727,0.987,0.863,-0.0203,-0.0677,166,True
ACH-000120,Amsacrine,5.0,16424,0.9525,1.0932,0.0519,,16,True
ACH-000120,Anethole trithione,5.0,17034,0.9839,0.7798,0.0612,,20,True
ACH-000120,Artesunate,5.0,16437,0.9909,0.8259,0.0811,0.8495,81,True
ACH-000120,Azithromycin (hydrate),5.0,16655,0.9584,0.8612,0.0473,,2,True
ACH-000120,Baicalin,5.0,17351,0.9709,0.7898,0.0512,,7,True
ACH-000120,Balsalazide (sodium hydrate),5.0,17637,0.9455,0.7817,0.0477,,1,True
ACH-000120,Belumosudil,0.05,17199,0.7654,0.9293,0.0164,,4,True
ACH-000120,Belumosudil,0.5,19398,0.8376,0.7981,0.0192,,31,True
ACH-000120,Belumosudil,5.0,16370,0.8956,0.9528,0.0068,-0.1045,149,True
ACH-000120,Berbamine,0.5,16959,0.7672,0.9579,-0.0211,-0.3596,102,True
ACH-000120,Berbamine,5.0,16627,0.9651,0.8188,0.0566,,10,True
ACH-000120,Berbamine (dihydrochloride),0.05,16561,0.7683,0.938,0.039,,42,True
ACH-000120,Berbamine (dihydrochloride),0.5,18749,0.8711,0.7029,0.0093,,21,True
ACH-000120,Berbamine (dihydrochloride),5.0,16536,0.9938,0.8779,0.0071,0.092,140,True
ACH-000120,Berberine (chloride hydrate),5.0,17281,0.9668,0.7653,0.0255,,5,True
ACH-000120,Bergenin,5.0,16923,0.9699,0.7914,0.0302,,8,True
